id,tender_ref,award_date,contractor_name,contractor_brn,contract_value,contract_value_currency,source,source_url,first_seen
214,Lei Muk Shue Shopping CentreShop 114,,Lei Muk Shue Estate(Tsuen Wan)(Tel:2418 2831) / Choose one of the following:,,,HKD,ha,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html,2026-08-20T01:27:29
215,,,"19,000 / ",,,HKD,ha,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html,2026-08-20T01:27:29
219,,,"22,000 / ",,,HKD,ha,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html,2026-08-20T01:27:29
220,On Kay Commerical CentreShop 101,,On Kay Court(Kwun Tong)(Tel:2758 9519) / Choose one of the following:,,,HKD,ha,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html,2026-08-20T01:27:29
221,,,"7,000 / ",,,HKD,ha,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html,2026-08-20T01:27:29
223,On Ying Shopping CentreShop LG113,,On Ying Court(Sai Kung)(Tel:2701 3320) / Choose one of the following:,,,HKD,ha,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html,2026-08-20T01:27:29
226,MarketShopstall  4,,Pok Hong Estate(Sha Tin)(Tel:2647 0815) / Choose one of the following:,,,HKD,ha,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html,2026-08-20T01:27:29
227,,,"6,100 / ",,,HKD,ha,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html,2026-08-20T01:27:29
231,MarketShopstall 10,,Pok Hong Estate(Sha Tin)(Tel:2647 0815) / Choose one of the following:,,,HKD,ha,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html,2026-08-20T01:27:29
232,,,"5,000 / ",,,HKD,ha,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html,2026-08-20T01:27:29
233,,,"5,600 / ",,,HKD,ha,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html,2026-08-20T01:27:29
234,MarketShopstall 15,,Pok Hong Estate(Sha Tin)(Tel:2647 0815) / Choose one of the following:,,,HKD,ha,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html,2026-08-20T01:27:29
236,,,"12,800 / ",,,HKD,ha,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html,2026-08-20T01:27:29
238,MarketShopstall 20,,Pok Hong Estate(Sha Tin)(Tel:2647 0815) / Choose one of the following:,,,HKD,ha,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html,2026-08-20T01:27:29
239,,,"14,500 / ",,,HKD,ha,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html,2026-08-20T01:27:29
241,Queens Hill Shopping CentreShop 25,,Queens Hill Estate(North)(Tel:2661 2821) / Choose one of the following:,,,HKD,ha,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html,2026-08-20T01:27:29
244,"Yam Heng HouseG/F, Shop 1",,Shek Yam East Estate(Kwai Tsing)(Tel:2424 2942) / Choose one of the following:,,,HKD,ha,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html,2026-08-20T01:27:29
246,,,"13,000 / ",,,HKD,ha,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html,2026-08-20T01:27:29
247,So Uk Shopping CentreShop G06,,So Uk Estate(Sham Shui Po)(Tel:3709 7507) / Choose one of the following:,,,HKD,ha,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html,2026-08-20T01:27:29
248,,,"15,000 / ",,,HKD,ha,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html,2026-08-20T01:27:29
251,Shek Mun Shopping CentreShop P15+Advertising Light BoxNo. 2,,Shek Mun Estate(Sha Tin)(Tel:2699 0329) / Choose one of the following:,,,HKD,ha,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html,2026-08-20T01:27:29
252,,,"80,000 / ",,,HKD,ha,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html,2026-08-20T01:27:29
253,,,"73,000 / ",,,HKD,ha,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html,2026-08-20T01:27:29
254,,,"94,000 / ",,,HKD,ha,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html,2026-08-20T01:27:29
255,,,"82,500 / ",,,HKD,ha,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html,2026-08-20T01:27:29
256,,,"76,000 / ",,,HKD,ha,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html,2026-08-20T01:27:29
257,TCP720,2026-05-15,Yau Lee Construction Company Limited,,420896000.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
258,RFP802,2026-06-24,Gold Banner Construction and Development Limited,,9095554.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
259,TCR973,2026-06-10,Cheung Hing - Hung Wan - Maylon Joint Venture,,568002100.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
260,SSN507,2026-06-09,Penta-Ocean Construction Co Ltd,,925772000.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
261,SSH505,2025-03-28,Able - Square Joint Venture,,1833992000.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
262,TCN912,2025-03-19,Square Construction Company Limited,,981415600.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
263,TCN921,2025-03-19,CW-KS-LIDELL JV,,671278706.1,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
264,TCN911,2025-03-13,Sui Chong - Goldfield Joint Venture,,733379690.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
265,TCN922,2025-03-13,Cheung Hing - Deson - Maylon Joint Venture,,878859142.4,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
266,TCN951,2025-03-13,Sui Chong - Goldfield Joint Venture,,687129970.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
267,TCN952,2025-03-13,CW-KS-LIDELL JV,,834071063.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
268,SSM501,2025-04-10,Able - Square Joint Venture,,1149880000.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
269,RFM809,2025-05-26,Maylon Construction Company Limited,,23190000.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
270,SSM510,2025-05-22,Lanon - Hop Lee Joint Venture,,505550000.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
271,SSN517,2025-05-19,Allied Success - Creative Concept Joint Venture,,503446000.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
272,SSN518,2025-05-16,Treasure Construction Engineering Limited,,480121500.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
273,SSP504,2025-06-03,Shui On - Cycle Links (SSP504) Joint Venture,,1032275500.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
274,SSN504,2025-06-03,Man Kit Construction Company Limited,,233233495.46,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
275,SSP506,2025-07-17,Chun Wo Building Construction Limited,,460140000.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
276,REN521,2025-07-02,China State Construction Engineering (Hong Kong) Limited,,2200000000.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
277,RFN806,2025-08-18,Wah Seng General Contractors Limited,,10498000.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
278,TCP972,2025-08-18,Cheung Hing - Maylon Joint Venture,,1018322800.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
279,TCP929,2025-09-18,Shui On Building Contractors Limited,,215009956.4,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
280,TCP928,2025-09-18,CWB - KS JV,,278000000.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
281,RFM804,2025-09-12,Pacific Extend Limited,,5501790.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
282,SSN515,2025-10-31,W.Hing-CCECC-SFK Joint Venture,,365645000.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
283,NSC to REN521,2025-11-18,TK Elevator Hong Kong Limited,,7250000.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
284,NSC to REN521,2025-11-10,Chevalier (HK) Limited,,26280000.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
285,RFL810,2025-11-10,Wah Seng General Contractors Limited,,9480000.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
286,RFN802,2025-12-29,"Lidell Construction Company, Limited",,11757800.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
287,RFM812,2024-01-30,Tak Cheong Construction Company Limited,,6488660.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
288,RFL804,2024-01-16,Maylon Construction Company Limited,,8280000.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
289,TCM516,2024-02-15,Shui On Building Contractors Limited,,982187050.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
290,SSK508,2024-02-09,Shui On Construction Company Limited,,3907550000.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
291,SSM520,2024-03-28,Able - Chun Wo Joint Venture,,2020350000.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
292,RFM522,2024-03-18,China State Construction Engineering (Hong Kong) Limited,,366000000.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
293,SSM521,2024-03-01,Able - Chun Wo Joint Venture,,3197760000.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
294,TCM931,2024-03-01,Cheung Hing - Maylon Joint Venture,,878653088.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
295,TCM932,2024-03-01,Fook Lee - Union Joint Venture,,752502784.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
296,TCM941,2024-03-01,Chee Cheung Hing & Company Limited,,839882696.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
297,TCM942,2024-03-01,Fook Lee - Union Joint Venture,,699897600.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
298,SSM504,2024-04-29,Paul Y. - Able (TKO67) Joint Venture,,2890967000.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
299,TCN509,2024-04-22,Geotechnics & Concrete Engineering (Hong Kong) Limited,,56135000.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
300,SSM508,2024-04-03,Woon Lee Construction Company Limited,,377746000.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
301,RFM802,2024-05-29,Gold Banner Construction and Development Limited,,9998129.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
302,RFM807,2024-05-28,Gold Banner Construction and Development Limited,,16237674.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
303,TCM719,2024-06-21,Yau Lee Construction Company Limited,,526085000.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
304,RFM811,2024-08-19,Sun Hang Shing Construction & Decoration Company Limited,,21194470.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
305,RFN510,2024-08-08,Woon Lee Construction Company Limited,,438181700.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
306,ASD/T/1/2023,2024-08-05,China Overseas Property Services Limited,,26910734.4,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
307,RFM814,2024-10-31,Gold Banner Construction and Development Limited,,10546491.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
308,SSN520,2024-10-30,CCSIC Green Tech - Aluhouse Joint Venture,,2032905000.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
309,SSN522,2024-10-29,China Harbour Engineering Company Limited,,609766000.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
310,SSN516,2024-10-24,Yau Lee Construction Company Limited,,808284500.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
311,SSM515,2024-10-14,Square - Able Joint Venture,,2550000000.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
312,SSN505,2024-11-26,Realty - Lanon JV,,726350000.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
313,RFN805,2024-11-12,Gold Banner Construction and Development Limited,,16996521.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
314,SSL510,2023-01-16,Hop Lee Builders Company Limited,,408658500.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
315,SSL511,2023-01-13,Build King Construction Limited,,429499000.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
316,SSL518,2023-01-06,Sunnic Engineering Limited,,275513000.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
317,SSL513,2023-01-03,Chun Wo Elegant JV,,389647500.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
318,TCL720,2023-02-10,Shui On Building Contractors Limited,,569920000.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
319,SSJ506,2023-04-19,Shui On Construction Company Limited,,1934600000.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
320,RFL811,2023-04-17,Shun Yip Construction Company Limited,,11591365.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
321,SSL516,2023-05-31,Wise Trend Engineering Limited,,91180000.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
322,SSL505,2023-06-27,Wanson Construction Company Limited,,366002752.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
323,RFL807,2023-06-20,Maylon Construction Company Limited,,11879440.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
324,RFL806,2023-06-16,Creative Concept Construction Company Limited,,15447000.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
325,RFL802,2023-06-07,Gold Banner Construction and Development Limited,,9991086.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
326,TCL519,2023-06-02,Wecon Limited,,535751500.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
327,NSC to SSL516,2023-06-02,Meco Engineering Limited,,20500000.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
328,SSM512,2023-07-31,Techoy Construction Company Limited,,695606000.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
329,SSM503,2023-07-25,Dragages Hong Kong Limited,,1838888888.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
330,SSM507,2023-07-20,Wah Tat Construction Company,,217180395.5,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
331,SSL509,2023-07-14,Build King - ABLE Joint Venture,,4471400000.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
332,SSL517,2023-07-10,Shui On Construction Company Limited,,730800000.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
333,TCM971,2023-09-07,Shui On Building Contractors Limited,,811420000.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
334,TCM938,2023-09-04,Cheung Hing Construction Company Limited,,484400000.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
335,RFM808,2023-10-31,Wah Tat Construction Company,,14499260.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
336,RFM803,2023-10-17,Union Contractors Limited,,13694693.5,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
337,SSM519,2023-11-28,China State Construction Engineering (Hong Kong) Limited,,6280000000.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
338,SSM518,2023-11-28,Chevalier - China Railway Joint Venture,,3977600000.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
339,SSM502,2023-11-27,Shui On Construction Company Limited,,1110440000.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
340,RFK820,2023-11-02,K-Peak Company Limited,,16689973.0,HKD,archsd,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html,2026-08-20T14:35:24
341,A0600622024,2025-06-27,Wyson Security Services Limited,,9102384.0,HKD,gld,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv,2026-08-20T14:35:24
342,AD200782023,2025-03-07,Zung Fu Company Limited,,,HKD,gld,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv,2026-08-20T14:35:24
343,A9900062025,2025-10-06,Artec Chemical Company Limited,,,HKD,gld,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv,2026-08-20T14:35:24
344,A7600712024,2025-10-24,Bai He Long Limited,,,HKD,gld,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv,2026-08-20T14:35:24
345,A0100172024,2025-06-24,Energy Trading Company Limited,,15375000.0,HKD,gld,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv,2026-08-20T14:35:24
346,A9900802024,2025-06-26,"Xin Ding Xin Trade Co., Limited",,,HKD,gld,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv,2026-08-20T14:35:24
347,A9900802024,2025-06-26,Professional Trade International Limited,,,HKD,gld,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv,2026-08-20T14:35:24
348,A9900802024,2025-06-26,AS Watson Group (HK) Limited,,,HKD,gld,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv,2026-08-20T14:35:24
349,A2900462024,2025-08-06,Innovation Systems Group Limited,,,HKD,gld,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv,2026-08-20T14:35:24
350,A9900312024,2025-06-06,Fu Team Transport Company Limited,,,HKD,gld,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv,2026-08-20T14:35:24
351,A9900312024,2025-06-06,Dah Chong Hong (Motor Leasing) Limited,,,HKD,gld,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv,2026-08-20T14:35:24
352,A9900312024,2025-06-06,Big Union Motors (Group) Limited,,,HKD,gld,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv,2026-08-20T14:35:24
353,A4100682024,2025-06-25,GlaxoSmithKline Limited,,,HKD,gld,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv,2026-08-20T14:35:24
354,A0600952024,2025-06-25,C & C Security Printing Company Limited,,23490350.0,HKD,gld,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv,2026-08-20T14:35:24
355,AF300452024,2025-08-06,HKBN JOS Limited,,,HKD,gld,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv,2026-08-20T14:35:24
