record_type,source,tender_ref,title,contractor_name,contractor_brn,contract_value,currency,status,award_date,publication_date,closing_date,url
award,archsd,TCL519,,Wecon Limited,,535751500.0,HKD,awarded,2023-06-02,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,NSC to SSL516,,Meco Engineering Limited,,20500000.0,HKD,awarded,2023-06-02,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,RFL802,,Gold Banner Construction and Development Limited,,9991086.0,HKD,awarded,2023-06-07,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,RFL806,,Creative Concept Construction Company Limited,,15447000.0,HKD,awarded,2023-06-16,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,RFL807,,Maylon Construction Company Limited,,11879440.0,HKD,awarded,2023-06-20,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,SSL505,,Wanson Construction Company Limited,,366002752.0,HKD,awarded,2023-06-27,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,SSL517,,Shui On Construction Company Limited,,730800000.0,HKD,awarded,2023-07-10,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,SSL509,,Build King - ABLE Joint Venture,,4471400000.0,HKD,awarded,2023-07-14,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,SSM507,,Wah Tat Construction Company,,217180395.5,HKD,awarded,2023-07-20,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,SSM503,,Dragages Hong Kong Limited,,1838888888.0,HKD,awarded,2023-07-25,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,SSM512,,Techoy Construction Company Limited,,695606000.0,HKD,awarded,2023-07-31,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,TCM938,,Cheung Hing Construction Company Limited,,484400000.0,HKD,awarded,2023-09-04,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,TCM971,,Shui On Building Contractors Limited,,811420000.0,HKD,awarded,2023-09-07,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,RFM803,,Union Contractors Limited,,13694693.5,HKD,awarded,2023-10-17,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,RFM808,,Wah Tat Construction Company,,14499260.0,HKD,awarded,2023-10-31,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,RFK820,,K-Peak Company Limited,,16689973.0,HKD,awarded,2023-11-02,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,SSM502,,Shui On Construction Company Limited,,1110440000.0,HKD,awarded,2023-11-27,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,SSM519,,China State Construction Engineering (Hong Kong) Limited,,6280000000.0,HKD,awarded,2023-11-28,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,SSM518,,Chevalier - China Railway Joint Venture,,3977600000.0,HKD,awarded,2023-11-28,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,RFL804,,Maylon Construction Company Limited,,8280000.0,HKD,awarded,2024-01-16,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,RFM812,,Tak Cheong Construction Company Limited,,6488660.0,HKD,awarded,2024-01-30,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,SSK508,,Shui On Construction Company Limited,,3907550000.0,HKD,awarded,2024-02-09,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,TCM516,,Shui On Building Contractors Limited,,982187050.0,HKD,awarded,2024-02-15,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,SSM521,,Able - Chun Wo Joint Venture,,3197760000.0,HKD,awarded,2024-03-01,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,TCM931,,Cheung Hing - Maylon Joint Venture,,878653088.0,HKD,awarded,2024-03-01,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,TCM932,,Fook Lee - Union Joint Venture,,752502784.0,HKD,awarded,2024-03-01,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,TCM941,,Chee Cheung Hing & Company Limited,,839882696.0,HKD,awarded,2024-03-01,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,TCM942,,Fook Lee - Union Joint Venture,,699897600.0,HKD,awarded,2024-03-01,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,RFM522,,China State Construction Engineering (Hong Kong) Limited,,366000000.0,HKD,awarded,2024-03-18,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,SSM520,,Able - Chun Wo Joint Venture,,2020350000.0,HKD,awarded,2024-03-28,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,SSM508,,Woon Lee Construction Company Limited,,377746000.0,HKD,awarded,2024-04-03,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,TCN509,,Geotechnics & Concrete Engineering (Hong Kong) Limited,,56135000.0,HKD,awarded,2024-04-22,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,SSM504,,Paul Y. - Able (TKO67) Joint Venture,,2890967000.0,HKD,awarded,2024-04-29,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,RFM807,,Gold Banner Construction and Development Limited,,16237674.0,HKD,awarded,2024-05-28,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,RFM802,,Gold Banner Construction and Development Limited,,9998129.0,HKD,awarded,2024-05-29,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,TCM719,,Yau Lee Construction Company Limited,,526085000.0,HKD,awarded,2024-06-21,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,ASD/T/1/2023,,China Overseas Property Services Limited,,26910734.4,HKD,awarded,2024-08-05,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,RFN510,,Woon Lee Construction Company Limited,,438181700.0,HKD,awarded,2024-08-08,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,RFM811,,Sun Hang Shing Construction & Decoration Company Limited,,21194470.0,HKD,awarded,2024-08-19,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,SSM515,,Square - Able Joint Venture,,2550000000.0,HKD,awarded,2024-10-14,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,SSN516,,Yau Lee Construction Company Limited,,808284500.0,HKD,awarded,2024-10-24,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,SSN522,,China Harbour Engineering Company Limited,,609766000.0,HKD,awarded,2024-10-29,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,SSN520,,CCSIC Green Tech - Aluhouse Joint Venture,,2032905000.0,HKD,awarded,2024-10-30,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,RFM814,,Gold Banner Construction and Development Limited,,10546491.0,HKD,awarded,2024-10-31,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,RFN805,,Gold Banner Construction and Development Limited,,16996521.0,HKD,awarded,2024-11-12,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,SSN505,,Realty - Lanon JV,,726350000.0,HKD,awarded,2024-11-26,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,gld,A4100222024,,DKSH Hong Kong Limited,,,HKD,awarded,2025-01-03,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A0600552024,,BMW Concessionaires (HK) Limited,,,HKD,awarded,2025-01-08,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,AD200562023,,Nuctech Hong Kong Company Limited,,13615000.0,HKD,awarded,2025-01-09,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A0600152024,,Sun Cheong Paper Trading Limited,,,HKD,awarded,2025-01-15,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A7601022023,,Talos Global Trading Limited,,,HKD,awarded,2025-01-24,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A8700282024,,Hon Yuen Hong (H.K) Limited,,,HKD,awarded,2025-02-10,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A0600082024,,Sun Cheong Paper Trading Limited,,,HKD,awarded,2025-02-24,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,U8000012024,,A. R. Medicom Inc. (Asia) Ltd.,,,HKD,awarded,2025-02-27,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,U8000012024,,Wing Lee Supplies & Engineering Co.,,,HKD,awarded,2025-02-27,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,U8000012024,,K-Solution Design and Engineering Limited,,,HKD,awarded,2025-02-27,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,U8000012024,,Kei Cheung Industries & Trading Limited,,,HKD,awarded,2025-02-27,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,U8000012024,,Man Ming Hung Tai Manufacturing Company Limited,,,HKD,awarded,2025-02-27,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,U8000012024,,Maxwin & Honwell Limited,,,HKD,awarded,2025-02-27,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,U8000012024,,Million Source Limited,,,HKD,awarded,2025-02-27,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,U8000012024,,Peace Target Ltd,,,HKD,awarded,2025-02-27,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,U8000012024,,Prudent Elite International Trading Company Limited,,,HKD,awarded,2025-02-27,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,U8000012024,,Rainbow Sky (H.K.) Company Limited,,,HKD,awarded,2025-02-27,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,U8000012024,,S.T. Global Trading Limited,,,HKD,awarded,2025-02-27,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,U8000012024,,SkyNetCity HK Limited,,,HKD,awarded,2025-02-27,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,U8000012024,,Tin Ho Trading Co,,,HKD,awarded,2025-02-27,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,U8000012024,,Top-Sharp International Enterprise Limited,,,HKD,awarded,2025-02-27,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,U8000012024,,Tronex (Hong Kong) Limited,,,HKD,awarded,2025-02-27,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,U8000012024,,Trucare Enterprise Limited,,,HKD,awarded,2025-02-27,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,U8000012024,,Wide Fancy International Limited,,,HKD,awarded,2025-02-27,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,U8000012024,,Winner Medical (HK) Ltd,,,HKD,awarded,2025-02-27,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,U8000012024,,Action Medical Sundries Ltd,,,HKD,awarded,2025-02-27,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,AD200782023,,Zung Fu Company Limited,,,HKD,awarded,2025-03-07,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,archsd,TCN911,,Sui Chong - Goldfield Joint Venture,,733379690.0,HKD,awarded,2025-03-13,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,TCN922,,Cheung Hing - Deson - Maylon Joint Venture,,878859142.4,HKD,awarded,2025-03-13,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,TCN951,,Sui Chong - Goldfield Joint Venture,,687129970.0,HKD,awarded,2025-03-13,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,TCN952,,CW-KS-LIDELL JV,,834071063.0,HKD,awarded,2025-03-13,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,gld,A9900722024,,Jackson Coach Hire Service Limited,,,HKD,awarded,2025-03-18,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A9900722024,,Hong Kong Non Franchised Bus Association Limited,,,HKD,awarded,2025-03-18,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,archsd,TCN912,,Square Construction Company Limited,,981415600.0,HKD,awarded,2025-03-19,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,TCN921,,CW-KS-LIDELL JV,,671278706.1,HKD,awarded,2025-03-19,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,SSH505,,Able - Square Joint Venture,,1833992000.0,HKD,awarded,2025-03-28,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,gld,AF900042024,,International Environment Development Group Limited,,,HKD,awarded,2025-04-01,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A0600632024,,Hop Lee Lung Environmental Trading Limited,,,HKD,awarded,2025-04-01,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,AD200942023,,Zung Fu Company Limited,,,HKD,awarded,2025-04-03,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A9900432024,,Bloomsbury Books Limited,,13329000.0,HKD,awarded,2025-04-07,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A9900432024,,Sweet & Maxwell O/B Thomson Reuters Hong Kong Limited,,71609000.0,HKD,awarded,2025-04-07,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A9900432024,,RELX (Greater China) Limited - LexisNexis,,111816000.0,HKD,awarded,2025-04-07,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A8700372024,,Kwong Fat Hong (HK) Limited,,,HKD,awarded,2025-04-08,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,archsd,SSM501,,Able - Square Joint Venture,,1149880000.0,HKD,awarded,2025-04-10,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,gld,AC400202024,,Hong Kong Telecommunications (HKT) Limited,,14149100.0,HKD,awarded,2025-04-11,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A4100072024,,Nobel Biocare Asia Ltd.,,,HKD,awarded,2025-04-17,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A7600132024,,Kwong Fat Hong (HK) Limited,,,HKD,awarded,2025-04-25,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A1100052024,,"Zhuhai Desail Marine Fishery Technology Co., Ltd.",,64600000.0,HKD,awarded,2025-05-02,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,archsd,SSN518,,Treasure Construction Engineering Limited,,480121500.0,HKD,awarded,2025-05-16,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,gld,A4100162024,,DKSH Hong Kong Limited,,,HKD,awarded,2025-05-16,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,archsd,SSN517,,Allied Success - Creative Concept Joint Venture,,503446000.0,HKD,awarded,2025-05-19,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,SSM510,,Lanon - Hop Lee Joint Venture,,505550000.0,HKD,awarded,2025-05-22,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,RFM809,,Maylon Construction Company Limited,,23190000.0,HKD,awarded,2025-05-26,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,gld,AD200322024,,BMW Concessionaires (HK) Limited,,,HKD,awarded,2025-05-28,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A2500672023,,Hytera Communications Corporation Limited,,78569200.0,HKD,awarded,2025-05-29,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A0600522024,,Johnson Cleaning Services Company Limited,,2488800.0,HKD,awarded,2025-05-30,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A8700292024,,PCS Asia Limited,,,HKD,awarded,2025-05-30,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,archsd,SSP504,,Shui On - Cycle Links (SSP504) Joint Venture,,1032275500.0,HKD,awarded,2025-06-03,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,SSN504,,Man Kit Construction Company Limited,,233233495.46,HKD,awarded,2025-06-03,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,gld,A9900312024,,Fu Team Transport Company Limited,,,HKD,awarded,2025-06-06,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A9900312024,,Dah Chong Hong (Motor Leasing) Limited,,,HKD,awarded,2025-06-06,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A9900312024,,Big Union Motors (Group) Limited,,,HKD,awarded,2025-06-06,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A3700382024,,Axes Limited,,,HKD,awarded,2025-06-09,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A0100172024,,Energy Trading Company Limited,,15375000.0,HKD,awarded,2025-06-24,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A4100682024,,GlaxoSmithKline Limited,,,HKD,awarded,2025-06-25,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A0600952024,,C & C Security Printing Company Limited,,23490350.0,HKD,awarded,2025-06-25,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A9900802024,,"Xin Ding Xin Trade Co., Limited",,,HKD,awarded,2025-06-26,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A9900802024,,Professional Trade International Limited,,,HKD,awarded,2025-06-26,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A9900802024,,AS Watson Group (HK) Limited,,,HKD,awarded,2025-06-26,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A0600622024,,Wyson Security Services Limited,,9102384.0,HKD,awarded,2025-06-27,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,archsd,REN521,,China State Construction Engineering (Hong Kong) Limited,,2200000000.0,HKD,awarded,2025-07-02,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,gld,A3700032024,,Gruppo Basic International Limited,,,HKD,awarded,2025-07-03,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,AD200792023,,King Wing International Automobile Limited,,,HKD,awarded,2025-07-07,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,archsd,SSP506,,Chun Wo Building Construction Limited,,460140000.0,HKD,awarded,2025-07-17,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,gld,A9900022024,,Zung Fu Company Limited,,,HKD,awarded,2025-07-17,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A3400412024,,Cummins Hong Kong Limited,,,HKD,awarded,2025-07-22,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A4100502024,,GlaxoSmithKline Limited,,,HKD,awarded,2025-07-29,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
